software,institutions,category,tool_type
KOHA (ILMS open source),"IIM Nagpur, IIM Jammu, NIT Pondicherry",Library & Research Management,Administrative Tool
Libsys ILMS (Integrated Library Management),IIM Trichy,Library & Research Management,Administrative Tool
RemoteXS,"IIM Nagpur, IIM Trichy",Library & Research Management,Administrative Tool
MyLoft,IIM Trichy,Library & Research Management,Administrative Tool
Tally / TallyPrime,"IIM Amritsar, IIM Bangalore, IIM Nagpur, IIM Lucknow, IIIT Tiruchirapalli, IIIT Allahabad, IIIT Dharwad, NIT Pondicherry, NIT Trichy",ERP & Administration,Administrative Tool
PeopleSoft,IIM Bangalore,ERP & Administration,Administrative Tool
Asset & Procurement Management,IIM Bangalore,ERP & Administration,Administrative Tool
MDC (Office Management),IIM Bangalore,ERP & Administration,Administrative Tool
Visitor Management Software,IIM Bangalore,ERP & Administration,Administrative Tool
Registro TMS (Timetable) / EPAS / Course Bidding,IIM Bangalore,ERP & Administration,Administrative Tool
Bloomberg Software,"IIM Trichy, IIM Sambhalpur, IIM Kozhikode",Data Analysis & Statistics,Academic Tool
Dropbox Business,IIM Bangalore,Productivity & Collaboration,Administrative Tool
Zoho (for EEP),IIM Bangalore,ERP & Administration,Administrative Tool
Labnol,IIM Nagpur,ERP & Administration,Administrative Tool
Oryggi Manager,IIM Nagpur,ERP & Administration,Administrative Tool
SAP S/4 HANA,IIM Ahmedabad,ERP & Administration,Administrative Tool
Sophos (antivirus / endpoint),"IIM Amritsar, IIM Vishakhapatnam",Cybersecurity/Network,Administrative Tool
Fortinet / Fortigate UTM,"IIM Amritsar, IIM Ahmedabad",Cybersecurity/Network,Administrative Tool
Bitdefender Enterprise,IIM Amritsar,Cybersecurity/Network,Administrative Tool
Seqrite,IIM Amritsar,Cybersecurity/Network,Administrative Tool
Max Secure Software Antivirus,IIM Amritsar,Cybersecurity/Network,Administrative Tool
EPS7.1 Business Standard,IIM Amritsar,Cybersecurity/Network,Administrative Tool
Kaspersky Endpoint Security,"IIM Trichy, IIM Nagpur, IIM Lucknow",Cybersecurity/Network,Administrative Tool
